"id","accession number","title","who","image","when","date","numTags"
16507,"53.182.75 recto","Half-length Portrait of a Woman Seated Before a Window (after Lawrence?) (from Sketchbook)","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/266535.jpg","A.D. 1800-1900","1810–20",1
16511,"53.182.81 verso","Portrait of Man (from Sketchbook)","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/266551.jpg","A.D. 1800-1900","1810–20",1
16533,"1979.581.24","Bust Portrait of George Washington (from Sketchbook)","John William Casilear","http://images.metmuseum.org/CRDImages/ap/original/263698.jpg","A.D. 1800-1900",,1
16594,"2008.249.2","Ebenezer Storer II","John Singleton Copley","http://images.metmuseum.org/CRDImages/ap/original/DP227602.jpg","A.D. 1600-1800","ca. 1767",1
16691,"1985.351.2 verso","Study for a Bust Portrait of a Young Man (from Sketchbook)","John Quincy Adams Ward","http://images.metmuseum.org/CRDImages/ap/original/266082.jpg","A.D. 1800-1900","ca. 1860",1
16731,"54.181 verso","Portrait of a Man","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/ap54.181 verso.jpg","A.D. 1800-1900","ca. 1830",1
16858,"2000.484","Portrait of a Boy","Miss Leland","http://images.metmuseum.org/CRDImages/ap/original/DP161491.jpg","A.D. 1800-1900","ca. 1840",1
16859,"2000.452.1","Self-portrait","Thomas Seir Cummings","http://images.metmuseum.org/CRDImages/ap/original/DP105587.jpg","A.D. 1800-1900","ca. 1825",1
16860,"2000.452.2","Portrait of a Lady","Thomas Seir Cummings","http://images.metmuseum.org/CRDImages/ap/original/DP105588.jpg","A.D. 1800-1900","ca. 1835",1
16861,"2000.452.3","Portrait of a Lady",,"http://images.metmuseum.org/CRDImages/ap/original/DP105589.jpg","A.D. 1800-1900","ca. 1835",1
16885,"26.216.68 verso","Sketches: Cows; Two Female Portraits, One Crossed Out (from McGuire Scrapbook)","Emanuel Leutze","http://images.metmuseum.org/CRDImages/ap/original/267798.jpg","A.D. 1800-1900",,1
16907,"2001.95","Portrait of a Gentleman and His Daughter","Francois M. Guyol de Guiran","http://images.metmuseum.org/CRDImages/ap/original/DP162123.jpg","A.D. 1800-1900","ca. 1805",2
17075,"2001.693","Portrait of a Gentleman","Nathaniel Rogers","http://images.metmuseum.org/CRDImages/ap/original/ap2001.693.jpg","A.D. 1800-1900","ca. 1820",1
17578,"2003.484 recto","Portrait of a Woman","Clara D. Davidson","http://images.metmuseum.org/CRDImages/ap/original/SFTR4082003r.jpg","A.D. 1900-present","ca. 1910",1
17660,"2003.520","Portrait of a Lady",["Henry Inman","Thomas Seir Cummings"],"http://images.metmuseum.org/CRDImages/ap/original/DT11701.jpg","A.D. 1800-1900","ca. 1827",1
17783,"2004.109","Portrait of a Gentleman","Philippe Abraham Peticolas","http://images.metmuseum.org/CRDImages/ap/original/DP169108.jpg","A.D. 1600-1800","1798",1
18588,"2004.285","Portrait of a Gentleman",["Henry Williams","William M. S. Doyle"],"http://images.metmuseum.org/CRDImages/ap/original/DP110801.jpg","A.D. 1800-1900","1810",1
185921,"79.2.746","Plate",,"http://images.metmuseum.org/CRDImages/es/original/28580.jpg","A.D. 1600-1800","ca. 1774",1
185937,"80.11.4","Head of a woman",,"http://images.metmuseum.org/CRDImages/es/original/68537.jpg","A.D. 1800-1900","19th century",1
186697,"84.8.1","Alexander I of Russia","Lorenzo Bartolini","http://images.metmuseum.org/CRDImages/es/original/32154.jpg","A.D. 1800-1900","19th century",1
186774,"85.2.83","Commemorating the Coronation Festivals. 1804.","Nicholas Guy Antoine Brenet","http://images.metmuseum.org/CRDImages/es/original/30731.jpg","A.D. 1800-1900","19th century",1
